Date,Network,Message,Message URL,Message ID,Name,Profile,Followers,Shares,Likes,Sentiment,Location,Hashtags,Images,Language
6/30/2021 11:54 pm,Facebook,"Raúl engaña nuevamente a Pandora y a José Tomás | En este momento de La Torre de Mabel, Pandora y José Tomás son engañados nuevamente por el ex de ella y padre del joven, Raúl. Raúl, el ex de Pandora, visita a su hijo José Tomás diciéndole que tiene la esperanza de recuperar su confianza, a pesar de todas las decepciones que le ha hecho pas... | El ex de Pandora vuelve a defraudar a su familia en #LaTorredeMabel 😲👇",http://www.facebook.com/292534509886/posts/10159894960974887,292534509886_10159894960974887,Canal 13,Canal 13,0,0,8,Negative,NULL,#latorredemabel,NULL,NULL
6/30/2021 11:45 pm,YouTube,NULL,http://www.youtube.com/watch?v=gpTZFkcWsbI,gpTZFkcWsbI,Ahora en Chile,Ahora en Chile,5,0,0,Unclassified,NULL,NULL,NULL,NULL
6/30/2021 11:41 pm,Twitter,"#LaTorreDeMabel faltan mas capitulos asi,dinamicos y con mas humor jejej....bueno, q falta historia....vamos vamos",https://twitter.com/felgattas/statuses/1410443455671812096,1410443455671812096,#DELGADO,felgattas,1116,0,0,Neutral,NULL,#latorredemabel,NULL,es
6/30/2021 11:41 pm,Twitter,"Esta era la semana que en @canal13  se deberían haber mandado dos capítulos x día y terminar más tarde #LaTorreDeMabel 
Estrategia se llama eso.",https://twitter.com/Expertotv/statuses/1410443354949754891,1410443354949754891,Experto tv,Expertotv,4399,0,0,Negative,Chile,#latorredemabel,NULL,es
6/30/2021 11:38 pm,Twitter,BustamanteEvy 😊 ... mañana que iría hacer el #DoctorRico de Pablo o Carlitos 😏 ... que risa me dió la abogada cuando le dice a #TriniLala sobre el seudo afer de primos 😁😂 #LaTorreDeMabel #ComunidadMabel,https://twitter.com/polloxkarlos1/statuses/1410442647127343105,1410442647127343105,juan carlos,polloxkarlos1,493,0,0,Positive,NULL,"#trinilala, #doctorrico, #latorredemabel, #comunidadmabel",NULL,es
6/30/2021 11:38 pm,Twitter,"MundoC13 Rating #LaTorreDeMabel 6.8 PEAK 7, cuarto lugar pero no muy lejos del tercero (CHV 7.0)",https://twitter.com/vemos_tele/statuses/1410442547542081541,1410442547542081541,www.vemostele.cl,vemos_tele,6344,0,0,Neutral,Chile,#latorredemabel,NULL,es
6/30/2021 11:35 pm,YouTube,"Más información https://www.13.cl/programas/la-torre-de-mabel
Bienvenidos, Bienvenidos13, Bienvenidos canal 13, canal 13, bienvenidos matinal, tonka tomicic, Amaro Gómez-Pablos, actualidad, politica, bonos, gobierno, policial, seguridad, delincuencia, salud, cuarentena, denuncia, vozdelpueblo, vozciudadana",http://www.youtube.com/watch?v=5mEqx4vNI0w,5mEqx4vNI0w,Canal 13,Canal 13,4010000,0,47,Positive,NULL,NULL,NULL,NULL
6/30/2021 11:33 pm,Twitter,😮😮😮 ... estará genial #LaTorreDeMabel mañana y no podré verla ... toca trabajar 🙄 ...que disfruten mañana el capítulo #ComunidadMabel 😏 #LaTorreDeMabel,https://twitter.com/polloxkarlos1/statuses/1410441513268547584,1410441513268547584,juan carlos,polloxkarlos1,493,0,0,Unclassified,NULL,"#latorredemabel, #comunidadmabel",NULL,es
6/30/2021 11:32 pm,Twitter,felgattas Se nota 🤭🤭 es la mejor manera de terminar el día viendo #LaTorreDeMabel ayer leí tu twitter y estaba esperando que salieras 🤣,https://twitter.com/BustamanteEvy/statuses/1410441274927239173,1410441274927239173,Evy Bustamante,BustamanteEvy,6,0,0,Unclassified,NULL,#latorredemabel,NULL,es
6/30/2021 11:31 pm,Twitter,"#Hercai N°2 en rating, el fandom siempre apañando a #ReyMir 
#MiranEsUnSadoglu | QT: Rating 23:27
#DementeMega 13
#MiranEsUnSadoglu 9
#LaTorreDeMabel 7
#YoSoyCHV (r) 6
#LaFranjaMV 4
#MeLatePrime 3",https://twitter.com/marylen61/statuses/1410440934437892097,1410440934437892097,🦊 Maria Elena Patipelá 🦊🦋,marylen61,7892,0,0,Neutral,"Santiago, Santiago Metropolitan, Chile","#reymir, #yosoychv, #dementemega, #latorredemabel, #lafranjamv, #miranesunsadoglu, #hercai, #melateprime",NULL,es
6/30/2021 11:30 pm,Twitter,🙄 ... terminó #LaTorreDeMabel ... uta que corta .,https://twitter.com/polloxkarlos1/statuses/1410440772239962118,1410440772239962118,juan carlos,polloxkarlos1,493,0,0,Negative,NULL,#latorredemabel,NULL,es
6/30/2021 11:30 pm,Twitter,"Rating 23:27
#DementeMega 13
#MiranEsUnSadoglu 9
#LaTorreDeMabel 7
#YoSoyCHV (r) 6
#LaFranjaMV 4
#MeLatePrime 3",https://twitter.com/vemos_tele/statuses/1410440595974336514,1410440595974336514,www.vemostele.cl,vemos_tele,6343,0,3,Negative,Chile,"#dementemega, #miranesunsadoglu, #latorredemabel, #yosoychv, #lafranjamv, #melateprime",NULL,en
6/30/2021 11:25 pm,Twitter,"RT @MundoC13: Daaame tu amor, bésame más! dame una noche que no se pueda borrar..(8) #LaTorreDeMabel",https://twitter.com/polloxkarlos1/statuses/1410439493488984064,1410439493488984064,juan carlos,polloxkarlos1,493,0,0,Positive,NULL,#latorredemabel,NULL,es
6/30/2021 11:25 pm,Twitter,Tremendo edificio Don Malaquias donde vive Mabel!!! #LaTorreDeMabel,https://twitter.com/MundoC13/statuses/1410439475092668420,1410439475092668420,#LaTorreDeMabel 🏩,MundoC13,17362,0,0,Neutral,NULL,#latorredemabel,NULL,es
6/30/2021 11:25 pm,Twitter,"Daaame tu amor, bésame más! dame una noche que no se pueda borrar..(8) #LaTorreDeMabel",https://twitter.com/MundoC13/statuses/1410439385519173633,1410439385519173633,#LaTorreDeMabel 🏩,MundoC13,17362,1,1,Positive,NULL,#latorredemabel,NULL,es
6/30/2021 11:25 pm,Twitter,"RT @Informa_Primero: #RATING ONLINE 23:20
 HRS. 📺📈📊

#DementeMega 13
#MiranEsUnSadoglu 9
#YoSoyCHV (R) 9
#LaTorreDeMabel 7
#MentirasVerdaderas 3
#MeLatePrime 3

https://t.co/Z4a8Zf7wSE",https://twitter.com/ESTEFYYX/statuses/1410439357383811073,1410439357383811073,😘🌸#YO APRUEBO ❤ESTEFANI CARDENAS❤🌹💪✌❤,ESTEFYYX,478,0,0,Neutral,"Puerto Varas, Los Lagos, Chile","#rating, #dementemega, #miranesunsadoglu, #yosoychv, #latorredemabel, #mentirasverdaderas, #melateprime",https://pbs.twimg.com/media/El3PRThXIAE5HOW.jpg,en
