id,post_date,post_messsage,engagements
8850,2021/05/31 13:00:00,"jose miguel viñuela recordo su exitoso paso por  mekano 
https   t co i d htaipr",28.0
27711,2021/05/31 13:00:00,"jose miguel viñuela recordo su exitoso paso por  mekano 
https   t co i d htaipr",28.0
44572,2021/05/31 13:00:00,jose miguel viñuela recordo su exitoso paso por mekano ,28.0
44571,2021/05/31 14:00:00,caso de maltrato animal pdi llego hasta el lugar de la denuncia ,76.0
27710,2021/05/31 14:00:00,caso de maltrato animal  pdi llego hasta el lugar de la denuncia https   t co pgqvhk  u ,76.0
8849,2021/05/31 14:00:00,caso de maltrato animal  pdi llego hasta el lugar de la denuncia https   t co pgqvhk  u ,76.0
8848,2021/05/31 15:00:00,hoy martes   de junio  rubionatural conversara  detuatu con gonzalo robles y cristian garcia huidobro     no te lo pierdas  despues de  tele     https   t co hxnhyvk xx,55.0
27709,2021/05/31 15:00:00,hoy martes   de junio  rubionatural conversara  detuatu con gonzalo robles y cristian garcia huidobro     no te lo pierdas  despues de  tele     https   t co hxnhyvk xx,55.0
44570,2021/05/31 15:00:00,hoy martes de junio rubionatural conversara detuatu con gonzalo robles y cristian garcia huidobro no te lo pierdas despues de tele ,55.0
44569,2021/05/31 16:00:00,jose miguel viñuela y estafa de alberto chang me cuestione la vida ,48.0
27708,2021/05/31 16:00:00,"jose miguel viñuela y estafa de alberto chang   me cuestione la vida 
https   t co j fsxntfca",48.0
8847,2021/05/31 16:00:00,"jose miguel viñuela y estafa de alberto chang   me cuestione la vida 
https   t co j fsxntfca",48.0
8846,2021/05/31 18:00:00,hoy martes   de junio  rubionatural conversara  detuatu con gonzalo robles y cristian garcia huidobro     no te lo pierdas  despues de  tele     https   t co  bblurqorl,95.0
27707,2021/05/31 18:00:00,hoy martes   de junio  rubionatural conversara  detuatu con gonzalo robles y cristian garcia huidobro     no te lo pierdas  despues de  tele     https   t co  bblurqorl,95.0
44568,2021/05/31 18:00:00,hoy martes de junio rubionatural conversara detuatu con gonzalo robles y cristian garcia huidobro no te lo pierdas despues de tele ,95.0
44566,2021/05/31 19:00:00,jose miguel viñuela recordo su cercana amistad con javiera suarez ,53.0
27705,2021/05/31 19:00:00,"jose miguel viñuela recordo su cercana amistad con javiera suarez
https   t co bw wyausok",53.0
8844,2021/05/31 19:00:00,"jose miguel viñuela recordo su cercana amistad con javiera suarez
https   t co bw wyausok",53.0
8843,2021/05/31 21:00:00,"cristian garcia huidobro revelara maltratos de su padre en de tu a tu
https   t co pb kbnqkpp",78.0
27704,2021/05/31 21:00:00,"cristian garcia huidobro revelara maltratos de su padre en de tu a tu
https   t co pb kbnqkpp",78.0
44565,2021/05/31 21:00:00,cristian garcia huidobro revelara maltratos de su padre en de tu a tu ,78.0
44564,2021/05/31 22:00:00,hoy martes de junio rubionatural conversara detuatu con gonzalo robles y cristian garcia huidobro no te lo pierdas despues de tele ,151.0
27703,2021/05/31 22:00:00,hoy martes   de junio  rubionatural conversara  detuatu con gonzalo robles y cristian garcia huidobro     no te lo pierdas  despues de  tele     https   t co jspqusyrft,151.0
8842,2021/05/31 22:00:00,hoy martes   de junio  rubionatural conversara  detuatu con gonzalo robles y cristian garcia huidobro     no te lo pierdas  despues de  tele     https   t co jspqusyrft,151.0
